USD_SGD_1.csvPrice,Tstamp,Tstamp_relative,Tstep,Is_VCD
1.951,610322400,23932800,277,0
1.951,610581600,24192000,280,0
1.9575,610668000,24278400,281,0
1.9545,610754400,24364800,282,0
1.958,610840800,24451200,283,0
1.953,610927200,24537600,284,0
1.962,611186400,24796800,287,0
1.964,611272800,24883200,288,0
1.97,611359200,24969600,289,0
1.965,611445600,25056000,290,0
1.964,611532000,25142400,291,0
1.968,611791200,25401600,294,0
1.9545,611877600,25488000,295,0
1.956,611964000,25574400,296,0
1.956,612050400,25660800,297,0
1.9535,612136800,25747200,298,0
1.9525,612396000,26006400,301,0
1.96,612482400,26092800,302,0
1.955,612568800,26179200,303,0
1.9535,612655200,26265600,304,0
1.9525,612741600,26352000,305,0
1.949,613000800,26611200,308,0
1.953,613087200,26697600,309,0
1.947,613173600,26784000,310,0
1.948,613260000,26870400,311,0
1.953,613346400,26956800,312,0
1.964,613605600,27216000,315,0
1.965,613692000,27302400,316,0
1.969,613778400,27388800,317,0
1.97,613864800,27475200,318,0
1.963,613951200,27561600,319,0
1.963,614210400,27820800,322,0
1.96,614296800,27907200,323,0
1.961,614383200,27993600,324,0
1.955,614469600,28080000,325,0
1.954,614556000,28166400,326,0
1.954,614815200,28425600,329,0
1.9555,614901600,28512000,330,0
1.959,614988000,28598400,331,0
1.9595,615074400,28684800,332,0
1.965,615160800,28771200,333,0
1.962,615420000,29030400,336,0
1.963,615592800,29203200,338,0
1.962,615679200,29289600,339,0
1.956,615765600,29376000,340,0
1.958,616024800,29635200,343,0
1.961,616111200,29721600,344,0
1.957,616197600,29808000,345,0
1.9545,616284000,29894400,346,0
1.9575,616370400,29980800,347,0
1.963,616629600,30240000,350,0
1.959,616716000,30326400,351,0
1.961,616802400,30412800,352,0
1.96,616888800,30499200,353,0
1.9575,616975200,30585600,354,0
1.963,617234400,30844800,357,0
1.959,617320800,30931200,358,0
1.959,617407200,31017600,359,0
1.9565,617493600,31104000,360,0
1.9575,617580000,31190400,361,0
1.951,617839200,31449600,364,0
1.951,617925600,31536000,365,0
1.9465,618012000,31622400,366,0
1.947,618098400,31708800,367,0
1.954,618184800,31795200,368,0
1.9545,618444000,32054400,371,0
1.952,618530400,32140800,372,0
1.951,618616800,32227200,373,0
1.9505,618703200,32313600,374,0
1.9545,618789600,32400000,375,0
1.9585,619048800,32659200,378,0
1.958,619135200,32745600,379,0
1.957,619221600,32832000,380,0
1.961,619308000,32918400,381,0
1.964,619394400,33004800,382,0
1.9645,619653600,33264000,385,0
1.965,619740000,33350400,386,0
1.965,619826400,33436800,387,0
1.9705,619912800,33523200,388,0
1.971,619999200,33609600,389,0
1.9715,620258400,33868800,392,0
1.968,620344800,33955200,393,0
1.966,620431200,34041600,394,0
1.9685,620517600,34128000,395,0
1.97,620604000,34214400,396,0
1.9675,620863200,34473600,399,0
1.981,620949600,34560000,400,0
1.9785,621036000,34646400,401,0
1.981,621122400,34732800,402,0
1.9815,621208800,34819200,403,0
1.985,621468000,35078400,406,0
1.9845,621554400,35164800,407,0
1.981,621640800,35251200,408,0
1.979,621727200,35337600,409,0
1.9875,621813600,35424000,410,0
1.983,622072800,35683200,413,0
1.98,622159200,35769600,414,0
1.98,622245600,35856000,415,0
1.98,622332000,35942400,416,0
1.981,622418400,36028800,417,0
1.9655,622681200,36291600,420,0
1.967,622767600,36378000,421,0
1.966,622854000,36464400,422,0
1.9675,622940400,36550800,423,0
1.96,623026800,36637200,424,0
1.963,623286000,36896400,427,0
1.9705,623372400,36982800,428,0
1.9645,623458800,37069200,429,0
1.9615,623545200,37155600,430,0
1.9695,623631600,37242000,431,0
1.9666,623890800,37501200,434,0
1.968,623977200,37587600,435,0
1.974,624063600,37674000,436,0
1.969,624150000,37760400,437,0
1.9805,624236400,37846800,438,1
1.9525,624495600,38106000,441,0
1.959,624582000,38192400,442,0
1.956,624668400,38278800,443,0
1.956,624754800,38365200,444,0
1.959,624841200,38451600,445,0
1.9595,625100400,38710800,448,0
1.958,625186800,38797200,449,0
1.9578,625273200,38883600,450,0
1.9585,625359600,38970000,451,0
1.9598,625446000,39056400,452,0
1.9539,625705200,39315600,455,0
1.9559,625791600,39402000,456,0
1.961,625878000,39488400,457,0
1.958,625964400,39574800,458,0
1.9565,626050800,39661200,459,0
1.96,626310000,39920400,462,0
1.9608,626396400,40006800,463,0
1.96,626482800,40093200,464,0
1.9583,626569200,40179600,465,0
1.9585,626655600,40266000,466,0
1.9615,626914800,40525200,469,0
1.9615,627001200,40611600,470,0
1.9595,627087600,40698000,471,0
1.959,627174000,40784400,472,0
1.9596,627260400,40870800,473,0
1.9605,627519600,41130000,476,0
1.9579,627606000,41216400,477,0
1.96,627692400,41302800,478,0
1.9595,627778800,41389200,479,0
1.9545,627865200,41475600,480,0
1.953,628124400,41734800,483,0
1.955,628210800,41821200,484,0
1.951,628297200,41907600,485,0
1.945,628383600,41994000,486,0
1.949,628470000,42080400,487,0
1.9465,628729200,42339600,490,0
1.946,628815600,42426000,491,0
1.9397,628902000,42512400,492,0
1.9345,628988400,42598800,493,0
1.9345,629074800,42685200,494,0
1.93,629334000,42944400,497,0
1.915,629420400,43030800,498,0
1.9087,629506800,43117200,499,0
1.9105,629593200,43203600,500,0
1.9175,629679600,43290000,501,0
1.9105,629938800,43549200,504,0
1.9065,630025200,43635600,505,0
1.906,630111600,43722000,506,0
1.9015,630198000,43808400,507,0
1.9025,630284400,43894800,508,0
1.897,630543600,44154000,511,0
1.894,630630000,44240400,512,0
1.89,630716400,44326800,513,0
1.8895,630802800,44413200,514,0
1.9,630889200,44499600,515,0
1.9005,631234800,44845200,519,0
1.9085,631321200,44931600,520,0
1.894,631407600,45018000,521,0
1.906,631494000,45104400,522,0
1.8955,631753200,45363600,525,0
1.899,631839600,45450000,526,0
1.8965,631926000,45536400,527,0
1.8955,632012400,45622800,528,0
1.8905,632098800,45709200,529,0
1.8885,632358000,45968400,532,0
1.8915,632444400,46054800,533,0
1.8875,632530800,46141200,534,0
1.8895,632617200,46227600,535,0
1.875,632703600,46314000,536,0
1.8775,632962800,46573200,539,0
1.8785,633049200,46659600,540,0
1.875,633135600,46746000,541,0
1.876,633222000,46832400,542,0
1.8705,633308400,46918800,543,0
1.869,633567600,47178000,546,0
1.8635,633654000,47264400,547,0
1.8645,633740400,47350800,548,0
1.8635,633826800,47437200,549,0
1.8675,633913200,47523600,550,0
1.8642,634172400,47782800,553,0
1.8575,634258800,47869200,554,0
1.8603,634345200,47955600,555,0
1.863,634431600,48042000,556,0
1.8632,634518000,48128400,557,0
1.8625,634777200,48387600,560,0
1.8635,634863600,48474000,561,0
1.863,634950000,48560400,562,0
1.864,635036400,48646800,563,0
1.865,635122800,48733200,564,0
1.862,635382000,48992400,567,0
1.86,635468400,49078800,568,0
1.859,635554800,49165200,569,0
1.8625,635641200,49251600,570,0
1.864,635727600,49338000,571,0
1.864,635986800,49597200,574,0
1.866,636073200,49683600,575,0
1.867,636159600,49770000,576,0
1.8755,636246000,49856400,577,0
1.873,636332400,49942800,578,0
1.8729,636591600,50202000,581,0
1.872,636678000,50288400,582,0
1.8756,636764400,50374800,583,0
1.8725,636850800,50461200,584,0
1.8727,636937200,50547600,585,0
1.8731,637196400,50806800,588,0
1.8765,637282800,50893200,589,0
1.874,637369200,50979600,590,0
1.8735,637455600,51066000,591,0
1.872,637542000,51152400,592,0
1.8735,637801200,51411600,595,0
1.8735,637887600,51498000,596,0
1.8805,637974000,51584400,597,0
1.8825,638060400,51670800,598,0
1.879,638146800,51757200,599,0
1.882,638402400,52012800,602,0
1.8827,638488800,52099200,603,0
1.8865,638575200,52185600,604,0
1.8855,638661600,52272000,605,0
1.885,638748000,52358400,606,0
1.8845,639007200,52617600,609,0
1.8835,639093600,52704000,610,0
1.8785,639180000,52790400,611,0
1.8745,639266400,52876800,612,0
1.875,639352800,52963200,613,0
1.876,639612000,53222400,616,0
1.8785,639698400,53308800,617,0
1.8775,639784800,53395200,618,0
1.8767,639871200,53481600,619,0
1.8767,639957600,53568000,620,0
1.8758,640216800,53827200,623,0
1.8775,640303200,53913600,624,0
1.8775,640389600,54000000,625,0
1.8745,640476000,54086400,626,0
1.875,640562400,54172800,627,0
1.8763,640821600,54432000,630,0
1.8779,640908000,54518400,631,0
1.8755,640994400,54604800,632,0
1.876,641080800,54691200,633,0
1.877,641167200,54777600,634,0
1.8745,641426400,55036800,637,0
1.8745,641512800,55123200,638,0
1.8735,641599200,55209600,639,0
1.8765,641685600,55296000,640,0
1.875,641772000,55382400,641,0
1.8733,642031200,55641600,644,0
1.8685,642117600,55728000,645,0
1.8666,642204000,55814400,646,0
1.864,642290400,55900800,647,0
1.8502,642376800,55987200,648,0
1.8508,642636000,56246400,651,0
1.8502,642722400,56332800,652,0
1.852,642808800,56419200,653,0
1.8525,642895200,56505600,654,0
1.8545,642981600,56592000,655,0
1.8525,643240800,56851200,658,0
1.854,643327200,56937600,659,0
1.8525,643413600,57024000,660,0
1.848,643500000,57110400,661,0
1.8478,643586400,57196800,662,0
1.8485,643845600,57456000,665,0
1.846,643932000,57542400,666,0
1.848,644018400,57628800,667,0
1.8525,644104800,57715200,668,0
1.85,644191200,57801600,669,0
1.852,644450400,58060800,672,0
1.849,644536800,58147200,673,0
1.8465,644623200,58233600,674,0
1.8475,644709600,58320000,675,0
1.8505,644796000,58406400,676,0
1.8487,645055200,58665600,679,0
1.8482,645141600,58752000,680,0
1.8481,645228000,58838400,681,0
1.8485,645314400,58924800,682,0
1.85,645400800,59011200,683,0
1.846,645660000,59270400,686,0
1.843,645746400,59356800,687,0
1.841,645832800,59443200,688,0
1.8411,645919200,59529600,689,0
1.8425,646005600,59616000,690,0
1.8433,646264800,59875200,693,0
1.8432,646351200,59961600,694,0
1.842,646437600,60048000,695,0
1.8395,646524000,60134400,696,0
1.8385,646610400,60220800,697,0
1.8315,646869600,60480000,700,0
1.832,646956000,60566400,701,0
1.829,647042400,60652800,702,0
1.83,647128800,60739200,703,0
1.829,647215200,60825600,704,0
1.8217,647474400,61084800,707,0
1.816,647560800,61171200,708,0
1.8153,647647200,61257600,709,0
1.8135,647733600,61344000,710,0
1.816,647820000,61430400,711,0
1.8165,648079200,61689600,714,0
1.817,648165600,61776000,715,0
1.8182,648252000,61862400,716,0
1.816,648338400,61948800,717,0
1.817,648424800,62035200,718,0
1.8105,648684000,62294400,721,0
1.8155,648770400,62380800,722,0
1.822,648856800,62467200,723,0
1.8203,648943200,62553600,724,0
1.8175,649029600,62640000,725,0
1.8132,649288800,62899200,728,0
1.806,649375200,62985600,729,0
1.8052,649461600,63072000,730,0
1.8058,649548000,63158400,731,0
1.8075,649634400,63244800,732,0
1.8037,649893600,63504000,735,0
1.804,649980000,63590400,736,0
1.8065,650066400,63676800,737,0
1.8057,650152800,63763200,738,0
1.804,650239200,63849600,739,0
1.7974,650498400,64108800,742,0
1.7975,650584800,64195200,743,0
1.7955,650671200,64281600,744,0
1.7954,650757600,64368000,745,0
1.7905,650844000,64454400,746,0
1.7913,651103200,64713600,749,0
1.7875,651189600,64800000,750,0
1.7863,651276000,64886400,751,0
1.7755,651362400,64972800,752,0
1.7768,651448800,65059200,753,0
1.7768,651708000,65318400,756,0
1.7637,651794400,65404800,757,0
1.7768,651880800,65491200,758,0
1.7672,651967200,65577600,759,0
1.764,652053600,65664000,760,0
1.766,652312800,65923200,763,0
1.7628,652399200,66009600,764,0
1.7458,652485600,66096000,765,0
1.7642,652572000,66182400,766,0
1.7685,652658400,66268800,767,0
1.7672,652917600,66528000,770,0
1.7688,653004000,66614400,771,0
1.7702,653090400,66700800,772,0
1.7805,653176800,66787200,773,0
1.7705,653263200,66873600,774,0
1.7615,653522400,67132800,777,0
1.7635,653608800,67219200,778,0
1.7662,653695200,67305600,779,0
1.764,653781600,67392000,780,0
1.77,653868000,67478400,781,0
1.7645,654127200,67737600,784,0
1.7645,654213600,67824000,785,0
1.764,654300000,67910400,786,0
1.7617,654386400,67996800,787,0
1.7645,654472800,68083200,788,0
1.7603,654735600,68346000,791,0
1.7599,654822000,68432400,792,0
1.7552,654908400,68518800,793,0
1.7483,654994800,68605200,794,0
1.7471,655081200,68691600,795,0
1.734,655340400,68950800,798,0
1.731,655426800,69037200,799,0
1.7332,655513200,69123600,800,0
1.7325,655599600,69210000,801,0
1.7267,655686000,69296400,802,0
1.7232,655945200,69555600,805,0
1.72,656031600,69642000,806,0
